detector,distortion,score_mean,score_std,n
sobel_p75,noisy,0.3103,0.0976,80
sobel_p75,blurred,0.4972,0.0544,80
sobel_p75,lowcontrast,0.8592,0.1031,80
canny_proj3,noisy,0.1757,0.0948,80
canny_proj3,blurred,0.2047,0.0443,80
canny_proj3,lowcontrast,0.9136,0.0218,80
canny_proj3_preblur,noisy,0.3425,0.0985,80
canny_proj3_preblur,blurred,0.2111,0.0455,80
canny_proj3_preblur,lowcontrast,0.8621,0.0292,80
