image,condition,distortion,detector,iou
GOPR0475_frame_000148_rgb_anon.png,fog,noisy,canny_proj3,0.1130
GOPR0475_frame_000148_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2266
GOPR0475_frame_000148_rgb_anon.png,fog,blurred,sobel_p75,0.5450
GOPR0475_frame_000148_rgb_anon.png,fog,blurred,canny_proj3,0.1894
GOPR0475_frame_000148_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1984
GOPR0475_frame_000148_rgb_anon.png,fog,lowcontrast,sobel_p75,0.9002
GOPR0475_frame_000148_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9001
GOPR0475_frame_000148_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8433
GOPR0475_frame_000154_rgb_anon.png,fog,noisy,sobel_p75,0.2811
GOPR0475_frame_000154_rgb_anon.png,fog,noisy,canny_proj3,0.1395
GOPR0475_frame_000154_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2938
GOPR0475_frame_000154_rgb_anon.png,fog,blurred,sobel_p75,0.5389
GOPR0475_frame_000154_rgb_anon.png,fog,blurred,canny_proj3,0.1553
GOPR0475_frame_000154_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1728
GOPR0475_frame_000154_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8983
GOPR0475_frame_000154_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9128
GOPR0475_frame_000154_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8470
GOPR0475_frame_000161_rgb_anon.png,fog,noisy,sobel_p75,0.2370
GOPR0475_frame_000161_rgb_anon.png,fog,noisy,canny_proj3,0.0931
GOPR0475_frame_000161_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2416
GOPR0475_frame_000161_rgb_anon.png,fog,blurred,sobel_p75,0.5364
GOPR0475_frame_000161_rgb_anon.png,fog,blurred,canny_proj3,0.2450
GOPR0475_frame_000161_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2641
GOPR0475_frame_000161_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8522
GOPR0475_frame_000161_rgb_anon.png,fog,lowcontrast,canny_proj3,0.8951
GOPR0475_frame_000161_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8310
GOPR0475_frame_000168_rgb_anon.png,fog,noisy,sobel_p75,0.2408
GOPR0475_frame_000168_rgb_anon.png,fog,noisy,canny_proj3,0.1347
GOPR0475_frame_000168_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.3246
GOPR0475_frame_000168_rgb_anon.png,fog,blurred,sobel_p75,0.4925
GOPR0475_frame_000168_rgb_anon.png,fog,blurred,canny_proj3,0.1511
GOPR0475_frame_000168_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1686
GOPR0475_frame_000168_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8663
GOPR0475_frame_000168_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9058
