image,condition,distortion,detector,score_iou_or_ari
GOPR0476_frame_000351_rgb_anon.png,fog,blurred,canny_proj3,0.2021
GOPR0476_frame_000351_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2035
GOPR0476_frame_000351_rgb_anon.png,fog,blurred,texture_seg,0.8875
GOPR0476_frame_000351_rgb_anon.png,fog,lowcontrast,sobel_p75,0.9137
GOPR0476_frame_000351_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9088
GOPR0476_frame_000351_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8546
GOPR0476_frame_000351_rgb_anon.png,fog,lowcontrast,texture_seg,0.9541
GOPR0476_frame_000389_rgb_anon.png,fog,noisy,sobel_p75,0.2503
GOPR0476_frame_000389_rgb_anon.png,fog,noisy,canny_proj3,0.1015
GOPR0476_frame_000389_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2710
GOPR0476_frame_000389_rgb_anon.png,fog,noisy,texture_seg,0.8309
GOPR0476_frame_000389_rgb_anon.png,fog,blurred,sobel_p75,0.6116
GOPR0476_frame_000389_rgb_anon.png,fog,blurred,canny_proj3,0.2181
GOPR0476_frame_000389_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2216
GOPR0476_frame_000389_rgb_anon.png,fog,blurred,texture_seg,0.7765
GOPR0476_frame_000389_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8461
GOPR0476_frame_000389_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9139
GOPR0476_frame_000389_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8593
GOPR0476_frame_000389_rgb_anon.png,fog,lowcontrast,texture_seg,0.7747
GOPR0476_frame_000518_rgb_anon.png,fog,noisy,sobel_p75,0.4141
GOPR0476_frame_000518_rgb_anon.png,fog,noisy,canny_proj3,0.2250
GOPR0476_frame_000518_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.4116
GOPR0476_frame_000518_rgb_anon.png,fog,noisy,texture_seg,0.8096
GOPR0476_frame_000518_rgb_anon.png,fog,blurred,sobel_p75,0.5408
GOPR0476_frame_000518_rgb_anon.png,fog,blurred,canny_proj3,0.1917
GOPR0476_frame_000518_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1869
GOPR0476_frame_000518_rgb_anon.png,fog,blurred,texture_seg,0.7224
GOPR0476_frame_000518_rgb_anon.png,fog,lowcontrast,sobel_p75,0.9631
GOPR0476_frame_000518_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9311
GOPR0476_frame_000518_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8833
GOPR0476_frame_000518_rgb_anon.png,fog,lowcontrast,texture_seg,0.7352
GOPR0477_frame_000384_rgb_anon.png,fog,noisy,sobel_p75,0.2018
GOPR0477_frame_000384_rgb_anon.png,fog,noisy,canny_proj3,0.0757
GOPR0477_frame_000384_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.1971
GOPR0477_frame_000384_rgb_anon.png,fog,noisy,texture_seg,0.8559
GOPR0477_frame_000384_rgb_anon.png,fog,blurred,sobel_p75,0.4569
GOPR0477_frame_000384_rgb_anon.png,fog,blurred,canny_proj3,0.2830
GOPR0477_frame_000384_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.3057
GOPR0477_frame_000384_rgb_anon.png,fog,blurred,texture_seg,0.9177
GOPR0477_frame_000384_rgb_anon.png,fog,lowcontrast,sobel_p75,0.6129
GOPR0477_frame_000384_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9130
GOPR0477_frame_000384_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8479
GOPR0477_frame_000384_rgb_anon.png,fog,lowcontrast,texture_seg,0.6736
GOPR0477_frame_000459_rgb_anon.png,fog,noisy,sobel_p75,0.1930
GOPR0477_frame_000459_rgb_anon.png,fog,noisy,canny_proj3,0.0356
GOPR0477_frame_000459_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.0439
GOPR0477_frame_000459_rgb_anon.png,fog,noisy,texture_seg,0.7181
GOPR0477_frame_000459_rgb_anon.png,fog,blurred,sobel_p75,0.4253
GOPR0477_frame_000459_rgb_anon.png,fog,blurred,canny_proj3,0.2925
GOPR0477_frame_000459_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.3212
GOPR0477_frame_000459_rgb_anon.png,fog,blurred,texture_seg,0.4765
GOPR0477_frame_000459_rgb_anon.png,fog,lowcontrast,sobel_p75,0.6394
GOPR0477_frame_000459_rgb_anon.png,fog,lowcontrast,canny_proj3,0.8640
GOPR0477_frame_000459_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.7906
GOPR0477_frame_000459_rgb_anon.png,fog,lowcontrast,texture_seg,0.9496
GOPR0477_frame_000477_rgb_anon.png,fog,noisy,sobel_p75,0.2388
GOPR0477_frame_000477_rgb_anon.png,fog,noisy,canny_proj3,0.0788
GOPR0477_frame_000477_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.1672
GOPR0477_frame_000477_rgb_anon.png,fog,noisy,texture_seg,0.7510
GOPR0477_frame_000477_rgb_anon.png,fog,blurred,sobel_p75,0.6062
GOPR0477_frame_000477_rgb_anon.png,fog,blurred,canny_proj3,0.2364
GOPR0477_frame_000477_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2444
GOPR0477_frame_000477_rgb_anon.png,fog,blurred,texture_seg,0.7413
GOPR0477_frame_000477_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8100
GOPR0477_frame_000477_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9185
GOPR0477_frame_000477_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8550
GOPR0477_frame_000477_rgb_anon.png,fog,lowcontrast,texture_seg,0.7477
GOPR0477_frame_000501_rgb_anon.png,fog,noisy,sobel_p75,0.1849
GOPR0477_frame_000501_rgb_anon.png,fog,noisy,canny_proj3,0.0277
GOPR0477_frame_000501_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.0753
GOPR0477_frame_000501_rgb_anon.png,fog,noisy,texture_seg,0.8250
GOPR0477_frame_000501_rgb_anon.png,fog,blurred,sobel_p75,0.4705
GOPR0477_frame_000501_rgb_anon.png,fog,blurred,canny_proj3,0.2595
GOPR0477_frame_000501_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2901
GOPR0477_frame_000501_rgb_anon.png,fog,blurred,texture_seg,0.9606
GOPR0477_frame_000501_rgb_anon.png,fog,lowcontrast,sobel_p75,0.5877
GOPR0477_frame_000501_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9170
GOPR0477_frame_000501_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8376
GOPR0477_frame_000501_rgb_anon.png,fog,lowcontrast,texture_seg,0.5362
GOPR0477_frame_000571_rgb_anon.png,fog,noisy,sobel_p75,0.2135
GOPR0477_frame_000571_rgb_anon.png,fog,noisy,canny_proj3,0.0518
GOPR0477_frame_000571_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.1736
GOPR0477_frame_000571_rgb_anon.png,fog,noisy,texture_seg,0.8933
GOPR0477_frame_000571_rgb_anon.png,fog,blurred,sobel_p75,0.5736
GOPR0477_frame_000571_rgb_anon.png,fog,blurred,canny_proj3,0.2394
GOPR0477_frame_000571_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2644
GOPR0477_frame_000571_rgb_anon.png,fog,blurred,texture_seg,0.8653
GOPR0477_frame_000571_rgb_anon.png,fog,lowcontrast,sobel_p75,0.6463
GOPR0477_frame_000571_rgb_anon.png,fog,lowcontrast,canny_proj3,0.8919
GOPR0477_frame_000571_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8390
GOPR0477_frame_000571_rgb_anon.png,fog,lowcontrast,texture_seg,0.9144
GOPR0478_frame_000247_rgb_anon.png,fog,noisy,sobel_p75,0.2032
GOPR0478_frame_000247_rgb_anon.png,fog,noisy,canny_proj3,0.0417
GOPR0478_frame_000247_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2125
GOPR0478_frame_000247_rgb_anon.png,fog,noisy,texture_seg,0.7962
GOPR0478_frame_000247_rgb_anon.png,fog,blurred,sobel_p75,0.4974
GOPR0478_frame_000247_rgb_anon.png,fog,blurred,canny_proj3,0.2651
GOPR0478_frame_000247_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2661
GOPR0478_frame_000247_rgb_anon.png,fog,blurred,texture_seg,0.9198
GOPR0478_frame_000247_rgb_anon.png,fog,lowcontrast,sobel_p75,0.6184
GOPR0478_frame_000247_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9240
GOPR0478_frame_000247_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8775
GOPR0478_frame_000247_rgb_anon.png,fog,lowcontrast,texture_seg,0.6346
GP010477_frame_000253_rgb_anon.png,fog,noisy,sobel_p75,0.3895
GP010477_frame_000253_rgb_anon.png,fog,noisy,canny_proj3,0.1671
GP010477_frame_000253_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.3743
