image,condition,detector,edge_density,runtime_ms,iou_vs_proj3_canny
GP010477_frame_000253_rgb_anon.png,fog,cv2_canny_75_200,0.058196,2.337,0.2824
GP010477_frame_000377_rgb_anon.png,fog,sobel_p75,0.257102,46.119,0.1586
GP010477_frame_000377_rgb_anon.png,fog,sobel_p90,0.100055,46.119,0.3115
GP010477_frame_000377_rgb_anon.png,fog,project3_canny,0.041248,230.169,1.0000
GP010477_frame_000377_rgb_anon.png,fog,cv2_canny_75_200,0.018130,1.381,0.1924
GP010477_frame_000617_rgb_anon.png,fog,sobel_p75,0.274748,43.159,0.1210
GP010477_frame_000617_rgb_anon.png,fog,sobel_p90,0.104880,43.159,0.2877
GP010477_frame_000617_rgb_anon.png,fog,project3_canny,0.033366,223.025,1.0000
GP010477_frame_000617_rgb_anon.png,fog,cv2_canny_75_200,0.019950,1.467,0.2463
GP020475_frame_000264_rgb_anon.png,fog,sobel_p75,0.276685,145.901,0.1737
GP020475_frame_000264_rgb_anon.png,fog,sobel_p90,0.104417,145.901,0.3641
GP020475_frame_000264_rgb_anon.png,fog,project3_canny,0.048402,489.739,1.0000
GP020475_frame_000264_rgb_anon.png,fog,cv2_canny_75_200,0.024620,2.153,0.2466
GP020478_frame_000171_rgb_anon.png,fog,sobel_p75,0.257084,63.789,0.2630
GP020478_frame_000171_rgb_anon.png,fog,sobel_p90,0.101588,63.789,0.3676
GP020478_frame_000171_rgb_anon.png,fog,project3_canny,0.069591,255.128,1.0000
GP020478_frame_000171_rgb_anon.png,fog,cv2_canny_75_200,0.053321,2.412,0.2969
GP020478_frame_000184_rgb_anon.png,fog,sobel_p75,0.266296,50.354,0.1580
GP020478_frame_000184_rgb_anon.png,fog,sobel_p90,0.103068,50.354,0.3293
GP020478_frame_000184_rgb_anon.png,fog,project3_canny,0.042536,256.301,1.0000
GP020478_frame_000184_rgb_anon.png,fog,cv2_canny_75_200,0.023047,1.508,0.2227
GOPR0351_frame_000167_rgb_anon.png,night,sobel_p75,0.370953,51.469,0.0344
GOPR0351_frame_000167_rgb_anon.png,night,sobel_p90,0.101242,51.469,0.1256
GOPR0351_frame_000167_rgb_anon.png,night,project3_canny,0.012762,251.225,1.0000
GOPR0351_frame_000167_rgb_anon.png,night,cv2_canny_75_200,0.006498,1.408,0.2010
GOPR0351_frame_000195_rgb_anon.png,night,sobel_p75,0.260525,51.687,0.0534
GOPR0351_frame_000195_rgb_anon.png,night,sobel_p90,0.106009,51.687,0.1310
GOPR0351_frame_000195_rgb_anon.png,night,project3_canny,0.013908,248.307,1.0000
GOPR0351_frame_000195_rgb_anon.png,night,cv2_canny_75_200,0.007524,0.933,0.2303
GOPR0351_frame_000573_rgb_anon.png,night,sobel_p75,0.309503,56.076,0.0150
GOPR0351_frame_000573_rgb_anon.png,night,sobel_p90,0.108474,56.076,0.0428
GOPR0351_frame_000573_rgb_anon.png,night,project3_canny,0.004644,261.295,1.0000
GOPR0351_frame_000573_rgb_anon.png,night,cv2_canny_75_200,0.002606,0.865,0.2108
GOPR0376_frame_000089_rgb_anon.png,night,sobel_p75,0.259504,52.766,0.0602
GOPR0376_frame_000089_rgb_anon.png,night,sobel_p90,0.108289,52.766,0.1418
GOPR0376_frame_000089_rgb_anon.png,night,project3_canny,0.015658,243.949,1.0000
GOPR0376_frame_000089_rgb_anon.png,night,cv2_canny_75_200,0.006360,1.145,0.1755
GOPR0376_frame_000157_rgb_anon.png,night,sobel_p75,0.356547,54.139,0.0111
GOPR0376_frame_000157_rgb_anon.png,night,sobel_p90,0.130341,54.139,0.0303
GOPR0376_frame_000157_rgb_anon.png,night,project3_canny,0.003955,249.306,1.0000
GOPR0376_frame_000157_rgb_anon.png,night,cv2_canny_75_200,0.000905,0.707,0.1111
GOPR0376_frame_000340_rgb_anon.png,night,sobel_p75,0.266213,42.789,0.0498
GOPR0376_frame_000340_rgb_anon.png,night,sobel_p90,0.112002,42.789,0.1181
GOPR0376_frame_000340_rgb_anon.png,night,project3_canny,0.013276,244.127,1.0000
GOPR0376_frame_000340_rgb_anon.png,night,cv2_canny_75_200,0.007134,1.477,0.2079
GOPR0376_frame_000608_rgb_anon.png,night,sobel_p75,0.267529,52.027,0.0851
GOPR0376_frame_000608_rgb_anon.png,night,sobel_p90,0.109765,52.027,0.2021
GOPR0376_frame_000608_rgb_anon.png,night,project3_canny,0.022814,234.173,1.0000
GOPR0376_frame_000608_rgb_anon.png,night,cv2_canny_75_200,0.015169,1.481,0.2420
GOPR0376_frame_000887_rgb_anon.png,night,sobel_p75,0.263810,55.364,0.0900
GOPR0376_frame_000887_rgb_anon.png,night,sobel_p90,0.108457,55.364,0.2123
GOPR0376_frame_000887_rgb_anon.png,night,project3_canny,0.023805,258.654,1.0000
GOPR0376_frame_000887_rgb_anon.png,night,cv2_canny_75_200,0.014916,1.761,0.2466
GOPR0376_frame_000916_rgb_anon.png,night,sobel_p75,0.267874,44.879,0.0930
GOPR0376_frame_000916_rgb_anon.png,night,sobel_p90,0.109534,44.879,0.2180
GOPR0376_frame_000916_rgb_anon.png,night,project3_canny,0.024933,228.463,1.0000
GOPR0376_frame_000916_rgb_anon.png,night,cv2_canny_75_200,0.016968,1.587,0.2500
GOPR0376_frame_001001_rgb_anon.png,night,sobel_p75,0.282386,40.679,0.0287
GOPR0376_frame_001001_rgb_anon.png,night,sobel_p90,0.127833,40.679,0.0632
GOPR0376_frame_001001_rgb_anon.png,night,project3_canny,0.008108,244.297,1.0000
GOPR0376_frame_001001_rgb_anon.png,night,cv2_canny_75_200,0.003361,1.105,0.1897
GP010376_frame_000145_rgb_anon.png,night,sobel_p75,0.265026,44.213,0.0590
GP010376_frame_000145_rgb_anon.png,night,sobel_p90,0.120703,44.213,0.1288
GP010376_frame_000145_rgb_anon.png,night,project3_canny,0.015653,239.672,1.0000
GP010376_frame_000145_rgb_anon.png,night,cv2_canny_75_200,0.008797,1.452,0.2444
GP010376_frame_000251_rgb_anon.png,night,sobel_p75,0.365231,54.163,0.0215
GP010376_frame_000251_rgb_anon.png,night,sobel_p90,0.138875,54.163,0.0565
GP010376_frame_000251_rgb_anon.png,night,project3_canny,0.007844,244.022,1.0000
GP010376_frame_000251_rgb_anon.png,night,cv2_canny_75_200,0.005855,1.124,0.2784
GP010376_frame_000283_rgb_anon.png,night,sobel_p75,0.287037,47.782,0.0323
GP010376_frame_000283_rgb_anon.png,night,sobel_p90,0.135057,47.782,0.0686
GP010376_frame_000283_rgb_anon.png,night,project3_canny,0.009280,242.165,1.0000
GP010376_frame_000283_rgb_anon.png,night,cv2_canny_75_200,0.004401,1.067,0.2072
GP010397_frame_000096_rgb_anon.png,night,sobel_p75,0.297231,52.593,0.0500
GP010397_frame_000096_rgb_anon.png,night,sobel_p90,0.119095,52.593,0.1240
GP010397_frame_000096_rgb_anon.png,night,project3_canny,0.014869,245.752,1.0000
GP010397_frame_000096_rgb_anon.png,night,cv2_canny_75_200,0.009935,1.673,0.2548
GP010397_frame_000193_rgb_anon.png,night,sobel_p75,0.351696,45.197,0.0386
GP010397_frame_000193_rgb_anon.png,night,sobel_p90,0.118478,45.197,0.1146
GP010397_frame_000193_rgb_anon.png,night,project3_canny,0.013597,248.743,1.0000
GP010397_frame_000193_rgb_anon.png,night,cv2_canny_75_200,0.009562,1.100,0.2795
GP010397_frame_000775_rgb_anon.png,night,sobel_p75,0.346724,50.261,0.0455
GP010397_frame_000775_rgb_anon.png,night,sobel_p90,0.111006,50.261,0.1407
GP010397_frame_000775_rgb_anon.png,night,project3_canny,0.015792,241.858,1.0000
GP010397_frame_000775_rgb_anon.png,night,cv2_canny_75_200,0.012569,1.216,0.2840
GP020397_frame_000030_rgb_anon.png,night,sobel_p75,0.308624,49.660,0.0606
GP020397_frame_000030_rgb_anon.png,night,sobel_p90,0.113552,49.660,0.1637
GP020397_frame_000030_rgb_anon.png,night,project3_canny,0.018713,234.560,1.0000
GP020397_frame_000030_rgb_anon.png,night,cv2_canny_75_200,0.011518,1.354,0.2501
GP020397_frame_000069_rgb_anon.png,night,sobel_p75,0.318173,43.390,0.0735
GP020397_frame_000069_rgb_anon.png,night,sobel_p90,0.105870,43.390,0.2143
GP020397_frame_000069_rgb_anon.png,night,project3_canny,0.023418,235.626,1.0000
GP020397_frame_000069_rgb_anon.png,night,cv2_canny_75_200,0.013867,1.268,0.2429
GP020397_frame_000167_rgb_anon.png,night,sobel_p75,0.279404,46.492,0.0672
GP020397_frame_000167_rgb_anon.png,night,sobel_p90,0.110363,46.492,0.1675
GP020397_frame_000167_rgb_anon.png,night,project3_canny,0.018842,241.859,1.0000
GP020397_frame_000167_rgb_anon.png,night,cv2_canny_75_200,0.013603,1.442,0.2822
GP020397_frame_000425_rgb_anon.png,night,sobel_p75,0.342581,49.398,0.0340
GP020397_frame_000425_rgb_anon.png,night,sobel_p90,0.113894,49.398,0.1018
GP020397_frame_000425_rgb_anon.png,night,project3_canny,0.011678,237.863,1.0000
GP020397_frame_000425_rgb_anon.png,night,cv2_canny_75_200,0.007310,1.237,0.2550
GOPR0400_frame_000494_rgb_anon.png,rain,sobel_p75,0.250605,58.972,0.1484
GOPR0400_frame_000494_rgb_anon.png,rain,sobel_p90,0.101131,58.972,0.3124
GOPR0400_frame_000494_rgb_anon.png,rain,project3_canny,0.037485,235.025,1.0000
GOPR0400_frame_000494_rgb_anon.png,rain,cv2_canny_75_200,0.021549,1.795,0.2611
GOPR0400_frame_000683_rgb_anon.png,rain,sobel_p75,0.272086,49.211,0.1776
GOPR0400_frame_000683_rgb_anon.png,rain,sobel_p90,0.102817,49.211,0.3427
GOPR0400_frame_000683_rgb_anon.png,rain,project3_canny,0.049090,211.056,1.0000
GOPR0400_frame_000683_rgb_anon.png,rain,cv2_canny_75_200,0.028533,1.680,0.2796
GOPR0400_frame_000727_rgb_anon.png,rain,sobel_p75,0.262402,45.484,0.1503
GOPR0400_frame_000727_rgb_anon.png,rain,sobel_p90,0.105601,45.484,0.3050
GOPR0400_frame_000727_rgb_anon.png,rain,project3_canny,0.039971,219.338,1.0000
GOPR0400_frame_000727_rgb_anon.png,rain,cv2_canny_75_200,0.023349,1.647,0.2385
GOPR0400_frame_000783_rgb_anon.png,rain,sobel_p75,0.253486,50.090,0.2381
GOPR0400_frame_000783_rgb_anon.png,rain,sobel_p90,0.100410,50.090,0.3523
GOPR0400_frame_000783_rgb_anon.png,rain,project3_canny,0.063036,214.460,1.0000
GOPR0400_frame_000783_rgb_anon.png,rain,cv2_canny_75_200,0.039600,2.075,0.2616
GOPR0400_frame_000829_rgb_anon.png,rain,sobel_p75,0.266943,45.662,0.1827
GOPR0400_frame_000829_rgb_anon.png,rain,sobel_p90,0.101861,45.662,0.3324
GOPR0400_frame_000829_rgb_anon.png,rain,project3_canny,0.049688,221.480,1.0000
GOPR0400_frame_000829_rgb_anon.png,rain,cv2_canny_75_200,0.036522,2.340,0.2770
GOPR0400_frame_000960_rgb_anon.png,rain,sobel_p75,0.263627,56.989,0.2443
GOPR0400_frame_000960_rgb_anon.png,rain,sobel_p90,0.100136,56.989,0.3652
GOPR0400_frame_000960_rgb_anon.png,rain,project3_canny,0.066443,238.447,1.0000
GOPR0400_frame_000960_rgb_anon.png,rain,cv2_canny_75_200,0.039268,2.329,0.2675
GOPR0402_frame_000511_rgb_anon.png,rain,sobel_p75,0.253310,51.563,0.3147
GOPR0402_frame_000511_rgb_anon.png,rain,sobel_p90,0.101084,51.563,0.3283
GOPR0402_frame_000511_rgb_anon.png,rain,project3_canny,0.088154,252.069,1.0000
GOPR0402_frame_000511_rgb_anon.png,rain,cv2_canny_75_200,0.079250,3.470,0.3276
GOPR0402_frame_000874_rgb_anon.png,rain,sobel_p75,0.254633,51.640,0.2058
GOPR0402_frame_000874_rgb_anon.png,rain,sobel_p90,0.100155,51.640,0.3348
GOPR0402_frame_000874_rgb_anon.png,rain,project3_canny,0.053315,230.176,1.0000
GOPR0402_frame_000874_rgb_anon.png,rain,cv2_canny_75_200,0.040919,2.734,0.2926
GP010400_frame_000042_rgb_anon.png,rain,sobel_p75,0.269924,43.204,0.2186
GP010400_frame_000042_rgb_anon.png,rain,sobel_p90,0.102504,43.204,0.3644
GP010400_frame_000042_rgb_anon.png,rain,project3_canny,0.059989,217.916,1.0000
GP010400_frame_000042_rgb_anon.png,rain,cv2_canny_75_200,0.045679,2.473,0.3150
GP010400_frame_000087_rgb_anon.png,rain,sobel_p75,0.266911,44.708,0.2188
GP010400_frame_000087_rgb_anon.png,rain,sobel_p90,0.102582,44.708,0.3426
GP010400_frame_000087_rgb_anon.png,rain,project3_canny,0.060103,218.931,1.0000
GP010400_frame_000087_rgb_anon.png,rain,cv2_canny_75_200,0.040131,1.951,0.2868
GP010400_frame_000519_rgb_anon.png,rain,sobel_p75,0.250521,47.192,0.2230
GP010400_frame_000519_rgb_anon.png,rain,sobel_p90,0.103486,47.192,0.3440
GP010400_frame_000519_rgb_anon.png,rain,project3_canny,0.057932,217.297,1.0000
GP010400_frame_000519_rgb_anon.png,rain,cv2_canny_75_200,0.036363,1.960,0.2539
GP010400_frame_000543_rgb_anon.png,rain,sobel_p75,0.276920,50.247,0.1760
GP010400_frame_000543_rgb_anon.png,rain,sobel_p90,0.104310,50.247,0.3552
GP010400_frame_000543_rgb_anon.png,rain,project3_canny,0.049164,209.438,1.0000
GP010400_frame_000543_rgb_anon.png,rain,cv2_canny_75_200,0.028858,1.832,0.2358
GP010400_frame_000597_rgb_anon.png,rain,sobel_p75,0.264686,49.330,0.2114
GP010400_frame_000597_rgb_anon.png,rain,sobel_p90,0.102331,49.330,0.3466
GP010400_frame_000597_rgb_anon.png,rain,project3_canny,0.057723,217.010,1.0000
GP010400_frame_000597_rgb_anon.png,rain,cv2_canny_75_200,0.039746,1.984,0.2753
GP010402_frame_000058_rgb_anon.png,rain,sobel_p75,0.272553,42.214,0.2006
GP010402_frame_000058_rgb_anon.png,rain,sobel_p90,0.103325,42.214,0.3508
GP010402_frame_000058_rgb_anon.png,rain,project3_canny,0.055538,201.914,1.0000
GP010402_frame_000058_rgb_anon.png,rain,cv2_canny_75_200,0.035144,1.464,0.2660
GP010402_frame_000078_rgb_anon.png,rain,sobel_p75,0.266244,49.432,0.2438
